"problem","architecture","training","seed","rob_beta","oracle","sampling_beta","map_size","valid_preds","total_counterexamples","relative_error","runtime","accuracy"
"MNIST","feed","Standard","0","6","LiRPA","10","14","9100","0","0","500.668196439743","0.976263736263736"
"MNIST","feed","Standard","0","6","LiRPA","20","14","9130","0","0","499.469706296921","0.976341730558598"
"MNIST","feed","Standard","0","6","LiRPA","30","14","9143","0","0","501.676876544952","0.976375369134857"
"MNIST","feed","Standard","0","6","LiRPA","40","14","9115","0","0","497.307869195938","0.976302797586396"
"MNIST","feed","Standard","0","6","LiRPA","50","14","9143","0","0","498.024321079254","0.976375369134857"
"MNIST","feed","Standard","0","6","PGD","10","42","9852","1","0.000103167234086454","9.14326405525208","0.978075517661389"
"MNIST","feed","Standard","0","6","PGD","20","42","9852","2","0.000179147259046937","9.65744090080261","0.978075517661389"
"MNIST","feed","Standard","0","6","PGD","30","43","9852","1","0.000103167234086454","9.46742486953735","0.978075517661389"
"MNIST","feed","Standard","0","6","PGD","40","42","9852","1","0.000103167234086454","9.6732177734375","0.978075517661389"
"MNIST","feed","Standard","0","6","PGD","50","42","9852","1","0.000103167234086454","9.87423348426819","0.978075517661389"
"MNIST","feed","Standard","1","6","LiRPA","10","13","9145","0","0","498.798364639282","0.978239475123018"
"MNIST","feed","Standard","1","6","LiRPA","20","14","9159","0","0","498.936358690262","0.978272737198384"
"MNIST","feed","Standard","1","6","LiRPA","30","14","9177","0","0","498.145058631897","0.978315353601395"
"MNIST","feed","Standard","1","6","LiRPA","40","14","9177","0","0","497.417299985886","0.978315353601395"
"MNIST","feed","Standard","1","6","LiRPA","50","15","9159","0","0","496.276040554047","0.978272737198384"
"MNIST","feed","Standard","1","6","PGD","10","45","9822","0","0","9.64589810371399","0.979739360619019"
"MNIST","feed","Standard","1","6","PGD","20","46","9822","0","0","9.65001821517944","0.979739360619019"
"MNIST","feed","Standard","1","6","PGD","30","45","9822","0","0","9.6627893447876","0.979739360619019"
"MNIST","feed","Standard","1","6","PGD","40","45","9822","0","0","9.91702318191528","0.979739360619019"
"MNIST","feed","Standard","1","6","PGD","50","46","9822","0","0","9.83775329589844","0.979739360619019"
"MNIST","feed","Standard","2","6","LiRPA","10","14","9165","0","0","498.482819795609","0.974358974358974"
"MNIST","feed","Standard","2","6","LiRPA","20","15","9165","0","0","500.992946147919","0.974358974358974"
"MNIST","feed","Standard","2","6","LiRPA","30","14","9124","0","0","499.581700563431","0.974243752740026"
"MNIST","feed","Standard","2","6","LiRPA","40","13","9179","0","0","498.3235039711","0.974398082579802"
"MNIST","feed","Standard","2","6","LiRPA","50","14","9165","0","0","498.199166059494","0.974358974358974"
"MNIST","feed","Standard","2","6","PGD","10","40","9840","0","0","8.9956157207489","0.976117886178862"
"MNIST","feed","Standard","2","6","PGD","20","39","9840","0","0","9.15173125267029","0.976117886178862"
"MNIST","feed","Standard","2","6","PGD","30","40","9840","0","0","9.4739294052124","0.976117886178862"
"MNIST","feed","Standard","2","6","PGD","40","40","9840","0","0","9.23506641387939","0.976117886178862"
"MNIST","feed","Standard","2","6","PGD","50","42","9840","0","0","9.50979495048523","0.976117886178862"
"MNIST","feed","Standard","3","6","LiRPA","10","14","9199","0","0","497.884145975113","0.976845309272747"
"MNIST","feed","Standard","3","6","LiRPA","20","13","9199","0","0","499.747364521027","0.976845309272747"
"MNIST","feed","Standard","3","6","LiRPA","30","13","9212","0","0","499.998898267746","0.976877985236648"
"MNIST","feed","Standard","3","6","LiRPA","40","14","9224","0","0","497.63752579689","0.976908065915004"
"MNIST","feed","Standard","3","6","LiRPA","50","13","9199","0","0","498.303658246994","0.976845309272747"
"MNIST","feed","Standard","3","6","PGD","10","39","9862","0","0","9.47539067268372","0.978401946866761"
"MNIST","feed","Standard","3","6","PGD","20","39","9862","0","0","9.50385737419128","0.978401946866761"
"MNIST","feed","Standard","3","6","PGD","30","39","9862","0","0","9.50826907157898","0.978401946866761"
"MNIST","feed","Standard","3","6","PGD","40","39","9862","0","0","9.71224093437195","0.978401946866761"
"MNIST","feed","Standard","3","6","PGD","50","40","9862","0","0","9.62530088424683","0.978401946866761"
"MNIST","feed","Standard","4","6","LiRPA","10","14","9063","0","0","503.389847993851","0.977601235793887"
"MNIST","feed","Standard","4","6","LiRPA","20","14","9099","0","0","501.282658100128","0.977689856028135"
"MNIST","feed","Standard","4","6","LiRPA","30","14","9099","0","0","499.446742296219","0.977689856028135"
"MNIST","feed","Standard","4","6","LiRPA","40","14","9099","0","0","499.482051372528","0.977689856028135"
"MNIST","feed","Standard","4","6","LiRPA","50","14","9083","0","0","498.532330989838","0.977650555983706"
"MNIST","feed","Standard","4","6","PGD","10","44","9854","0","0","10.1476540565491","0.979399228739598"
"MNIST","feed","Standard","4","6","PGD","20","42","9854","0","0","10.0749258995056","0.979399228739598"
"MNIST","feed","Standard","4","6","PGD","30","42","9854","0","0","9.76524686813354","0.979399228739598"
"MNIST","feed","Standard","4","6","PGD","40","40","9854","0","0","9.92356634140015","0.979399228739598"
"MNIST","feed","Standard","4","6","PGD","50","42","9854","0","0","10.2097299098969","0.979399228739598"
"MNIST","feed","TRADES","0","6","LiRPA","10","7","8020","11","0.00105770360794453","505.429472446442","0.915586034912718"
"MNIST","feed","TRADES","0","6","LiRPA","20","7","7972","16","0.00130276185513288","503.696957826614","0.915077772202709"
"MNIST","feed","TRADES","0","6","LiRPA","30","7","8014","11","0.00105770360794453","499.742446899414","0.915522835038682"
"MNIST","feed","TRADES","0","6","LiRPA","40","6","7988","7","0.000600096015362458","500.27775144577","0.915247871807712"
"MNIST","feed","TRADES","0","6","LiRPA","50","7","7981","7","0.000600096015362458","499.428206920624","0.915173537150733"
"MNIST","feed","TRADES","0","6","PGD","10","20","9039","18","0.00846023688663283","15.6212313175201","0.925102334329019"
"MNIST","feed","TRADES","0","6","PGD","20","20","9038","15","0.00846023688663283","15.5946238040924","0.92509404735561"
"MNIST","feed","TRADES","0","6","PGD","30","22","9041","17","0.00704225352112676","15.8054161071777","0.925118902776242"
"MNIST","feed","TRADES","0","6","PGD","40","21","9054","13","0.00643974241030359","15.8300955295563","0.925226419262205"
"MNIST","feed","TRADES","0","6","PGD","50","20","9043","15","0.00704225352112676","15.8271126747131","0.925135463894725"
"MNIST","feed","TRADES","1","6","LiRPA","10","7","6235","7","0.000681121580202066","506.419948101044","0.917241379310345"
"MNIST","feed","TRADES","1","6","LiRPA","20","7","6277","3","0.000347785763969395","505.810984373093","0.917795125059742"
"MNIST","feed","TRADES","1","6","LiRPA","30","6","6257","6","0.000570190443608165","502.528301239014","0.917532363752597"
"MNIST","feed","TRADES","1","6","LiRPA","40","7","6265","6","0.000570190443608165","500.963409423828","0.917637669592977"
"MNIST","feed","TRADES","1","6","LiRPA","50","7","6271","7","0.000681121580202066","499.558045148849","0.91771647265189"
"MNIST","feed","TRADES","1","6","PGD","10","16","7614","11","0.0093859992178334","12.0070219039917","0.932098765432099"
"MNIST","feed","TRADES","1","6","PGD","20","16","7627","12","0.00958247775496235","11.9313044548035","0.932214501114462"
"MNIST","feed","TRADES","1","6","PGD","30","18","7608","11","0.0164857257740249","12.4020276069641","0.932045215562566"
"MNIST","feed","TRADES","1","6","PGD","40","16","7626","13","0.00958247775496235","12.2281293869019","0.932205612378704"
"MNIST","feed","TRADES","1","6","PGD","50","16","7622","10","0.00424628450106157","12.2700216770172","0.932170034111782"
"MNIST","feed","TRADES","2","6","LiRPA","10","8","7247","3","0.000423101332769198","503.992854118347","0.912929488064027"
"MNIST","feed","TRADES","2","6","LiRPA","20","7","7253","1","0.00014265335235378","502.969776153564","0.913001516613815"
"MNIST","feed","TRADES","2","6","LiRPA","30","8","7247","3","0.000423101332769198","500.403135299683","0.912929488064027"
"MNIST","feed","TRADES","2","6","LiRPA","40","7","7251","1","0.00014265335235378","500.311450481415","0.912977520342022"
"MNIST","feed","TRADES","2","6","LiRPA","50","7","7250","1","0.00014265335235378","494.709211349487","0.912965517241379"
"MNIST","feed","TRADES","2","6","PGD","10","14","8246","1","0.00014265335235378","13.730749130249","0.923235508125152"
"MNIST","feed","TRADES","2","6","PGD","20","15","8251","1","0.00014265335235378","13.6045849323273","0.92328202642104"
"MNIST","feed","TRADES","2","6","PGD","30","15","8244","1","0.00014265335235378","13.6673040390015","0.923216885007278"
"MNIST","feed","TRADES","2","6","PGD","40","14","8243","1","0.00014265335235378","14.2385332584381","0.923207570059444"
"MNIST","feed","TRADES","2","6","PGD","50","14","8238","1","0.00014265335235378","14.0019338130951","0.923160961398398"
"MNIST","feed","TRADES","3","6","LiRPA","10","7","7899","5","0.00044202151171357","494.930375099182","0.898214963919484"
"MNIST","feed","TRADES","3","6","LiRPA","20","8","8004","4","0.000304367676152793","498.99357509613","0.899550224887556"
"MNIST","feed","TRADES","3","6","LiRPA","30","9","7931","4","0.000521195274496178","495.832731962204","0.898625646198462"
"MNIST","feed","TRADES","3","6","LiRPA","40","7","7945","5","0.000521195274496178","497.300690174103","0.898804279421019"
"MNIST","feed","TRADES","3","6","LiRPA","50","7","7948","3","0.000288225969159821","486.482105970383","0.898842476094615"
"MNIST","feed","TRADES","3","6","PGD","10","18","9182","4","0.000502260170768458","18.2064940929413","0.912437377477674"
"MNIST","feed","TRADES","3","6","PGD","20","19","9190","4","0.000502260170768458","18.5254182815552","0.912513601741023"
"MNIST","feed","TRADES","3","6","PGD","30","19","9189","4","0.000502260170768458","17.599170923233","0.912504080966373"
"MNIST","feed","TRADES","3","6","PGD","40","18","9191","4","0.000502260170768458","17.6769063472748","0.912523120443912"
"MNIST","feed","TRADES","3","6","PGD","50","17","9190","4","0.000502260170768458","17.9613246917725","0.912513601741023"
"MNIST","feed","TRADES","4","6","LiRPA","10","6","7063","17","0.00102476515798463","500.368361473083","0.91320968427014"
"MNIST","feed","TRADES","4","6","LiRPA","20","6","6979","13","0.000730816077953715","499.133638620377","0.912165066628457"
"MNIST","feed","TRADES","4","6","LiRPA","30","7","7118","14","0.000977397678680513","497.883945941925","0.913880303456027"
"MNIST","feed","TRADES","4","6","LiRPA","40","6","7044","12","0.000730816077953715","499.131068229675","0.91297558205565"
"MNIST","feed","TRADES","4","6","LiRPA","50","7","7061","10","0.000813537260006508","487.775986671448","0.913185101260445"
"MNIST","feed","TRADES","4","6","PGD","10","22","8474","32","0.0113753877973113","15.8729448318481","0.927425064904413"
"MNIST","feed","TRADES","4","6","PGD","20","19","8467","25","0.00323325635103926","15.8226406574249","0.927365064367545"
"MNIST","feed","TRADES","4","6","PGD","30","19","8464","27","0.00323325635103926","15.8419346809387","0.927339319470699"
"MNIST","feed","TRADES","4","6","PGD","40","22","8463","27","0.00495594713656388","15.9658198356628","0.927330733782347"
"MNIST","feed","TRADES","4","6","PGD","50","20","8462","25","0.0113753877973113","15.8299133777618","0.92732214606476"
